date,nav,daily_ret,regime,exposure,dd,n_positions,breaker,month
2021-06-07,0.9821178481843429,7.741683150313472e-05,bull,0.0009765625,-0.08757830841324442,10,0.5,2021-06
2021-06-08,0.9821973766967792,8.097654734949868e-05,bull,0.00048828125,-0.08750442365493291,10,0.5,2021-06
2021-06-09,0.9822756760376905,7.971854004996032e-05,bull,0.000244140625,-0.0874316808397845,10,0.5,2021-06
2021-06-10,0.9823547100345111,8.046009765754371e-05,bull,0.0001220703125,-0.08735825550370568,10,0.5,2021-06
2021-06-11,0.9824328712467817,7.956516263650793e-05,bull,6.103515625e-05,-0.08728564101487604,10,0.5,2021-06
2021-06-15,0.9825105117643881,7.902882718876829e-05,bull,3.0517578125e-05,-0.08721351026952705,10,0.5,2021-06
2021-06-16,0.98258790197037,7.876781475130447e-05,bull,1.52587890625e-05,-0.08714161207239637,10,0.5,2021-06
2021-06-17,0.9826659756377459,7.945718364666239e-05,bull,7.62939453125e-06,-0.08706907891582337,10,0.5,2021-06
2021-06-18,0.9827440754287773,7.947745517562374e-05,bull,3.814697265625e-06,-0.08699652148946448,10,0.5,2021-06
2021-06-21,0.9828220907783766,7.938521487933525e-05,bull,1.9073486328125e-06,-0.08692404251213735,10,0.5,2021-06
2021-06-22,0.9829000882992963,7.936077307531459e-05,bull,9.5367431640625e-07,-0.08685158009827457,10,0.5,2021-06
2021-06-23,0.9898912222313527,0.007112761526100775,bull,1.0,-0.08035657314957774,10,0.5,2021-06
2021-06-24,0.9785669055176192,-0.011439960734480455,bull,0.5,-0.09087725784246965,10,0.5,2021-06
2021-06-25,0.9800021835607594,0.001466714268638736,bull,0.25,-0.08954383454460331,10,0.5,2021-06
2021-06-28,0.9810813963726298,0.0011012351094453882,bull,0.125,-0.08854120824959266,10,0.5,2021-06
2021-06-29,0.9808097236970181,-0.00027691145364306156,bull,0.0625,-0.08879360162855199,10,0.5,2021-06
2021-06-30,0.9813990125028318,0.0006008186823356298,bull,0.03125,-0.08824613180094662,10,0.5,2021-06
2021-07-01,0.9809578143548048,-0.00044956041569870923,bull,0.015625,-0.08865602024894903,10,0.5,2021-07
2021-07-02,0.9810068787427731,5.0016817492396913e-05,bull,0.0078125,-0.08861043772344099,10,0.5,2021-07
2021-07-05,0.9812728945599871,0.00027116610798374053,bull,0.00390625,-0.08836329976298143,10,0.5,2021-07
2021-07-06,0.9814069659481904,0.0001366300740056316,bull,0.001953125,-0.08823874277316193,10,0.5,2021-07
2021-07-07,0.9815061991079863,0.00010111316022702881,bull,0.0009765625,-0.08814655171107112,10,0.5,2021-07
2021-07-08,0.9815939412809603,8.939543433733313e-05,bull,0.00048828125,-0.08806503617600936,10,0.5,2021-07
2021-07-09,0.9816706413154394,7.813825172851118e-05,bull,0.000244140625,-0.08799377917224603,10,0.5,2021-07
2021-07-12,0.9817544759680349,8.539997945052879e-05,bull,0.0001220703125,-0.08791589385972857,10,0.5,2021-07
2021-07-13,0.9818335485829496,8.054214862302688e-05,bull,6.103515625e-05,-0.08784243264609518,10,0.5,2021-07
2021-07-14,0.9819105373451502,7.841325274718522e-05,bull,3.0517578125e-05,-0.08777090740422105,10,0.5,2021-07
2021-07-15,0.9819884369632853,7.933474096906694e-05,bull,1.52587890625e-05,-0.0876985359454555,10,0.5,2021-07
2021-07-16,0.9820664014983926,7.939455514196542e-05,bull,7.62939453125e-06,-0.08762610417656146,10,0.5,2021-07
2021-07-19,0.9821443325935854,7.93542015834456e-05,bull,3.814697265625e-06,-0.08755370347451291,10,0.5,2021-07
2021-07-20,0.9822222668424678,7.935111601835706e-05,bull,1.9073486328125e-06,-0.08748129984257674,10,0.5,2021-07
2021-07-21,0.9823002460756957,7.939061845795896e-05,bull,9.5367431640625e-07,-0.08740885441861676,10,0.5,2021-07
2021-07-22,1.0141576795815979,0.03243146240996386,bull,1.0,-0.05781218898502825,10,0.5,2021-07
2021-07-23,1.0172953123895205,0.0030938313351993488,bull,1.0,-0.05489721881166718,10,1.0,2021-07
2021-07-26,1.0038472598110249,-0.013219418604129451,bull,1.0,-0.06739092810012269,10,1.0,2021-07
2021-07-27,0.9591830764020464,-0.04449300725031263,bull,1.0,-0.10888551029787136,10,1.0,2021-07
2021-07-28,0.9474046364945063,-0.01227965776014483,bull,0.5,-0.11982809125651964,10,0.5,2021-07
2021-07-29,0.9598016219445228,0.01308520665033538,bull,0.25,-0.1083108599427911,10,0.5,2021-07
2021-07-30,0.9643467131631319,0.0047354485705086696,bull,0.125,-0.10408831187916905,10,0.5,2021-07
2021-08-02,0.9661940906146397,0.0019156776564813194,bull,0.0625,-0.10237203387605556,10,0.5,2021-08
