date,nav,daily_ret,timing,exposure,dd,n_positions,month
2021-08-17,1.6831212910586206,-0.04097278346587213,1,1.0,-0.05348738599124498,10,2021-08
2021-08-18,1.7167112765837524,0.019956960739297046,1,1.0,-0.03459787091422285,10,2021-08
2021-08-19,1.715872262611904,-0.0004887333026191941,1,1.0,-0.03506969508512654,10,2021-08
2021-08-20,1.7036193775169033,-0.007140907491767134,1,1.0,-0.04196017312852631,10,2021-08
2021-08-23,1.741480019131115,0.02222365049016706,1,1.0,-0.020669030860474443,10,2021-08
2021-08-24,1.7292808574855418,-0.007005054041136694,1,1.0,-0.02752929722345559,10,2021-08
2021-08-25,1.7540427420587834,0.014319180407309041,1,1.0,-0.013604313789575623,10,2021-08
2021-08-26,1.7381683232774103,-0.009050189257498231,1,1.0,-0.022531381432559765,10,2021-08
2021-08-27,1.6945647360061056,-0.025085940577428002,1,1.0,-0.0470521011142432,10,2021-08
2021-08-30,1.6836600695718378,-0.006435084008633952,1,1.0,-0.053184400899424195,10,2021-08
2021-08-31,1.6922943585770405,0.005128285193221161,1,1.0,-0.048328860481846043,10,2021-08
2021-09-01,1.697049798293056,0.0028100546999483608,1,1.0,-0.04565461252343788,10,2021-09
2021-09-02,1.6972592545046274,0.00012342372733080724,1,1.0,-0.04553682365855444,10,2021-09
2021-09-03,1.7278875792205748,0.018045755022197022,1,1.0,-0.028312815000588628,10,2021-09
2021-09-06,1.7532432741301576,0.014674389245288856,1,1.0,-0.014053899023248159,10,2021-09
2021-09-07,1.7643592049790315,0.006340210176701933,1,1.0,-0.00780279352015592,10,2021-09
2021-09-08,1.8167661145072533,0.02970308391869932,1,1.0,0.0,10,2021-09
2021-09-09,1.7941433319815518,-0.012452226153412937,1,1.0,-0.012452226153412864,10,2021-09
2021-09-10,1.7639655873453597,-0.016820141455957248,1,1.0,-0.029062919404028133,10,2021-09
2021-09-13,1.7998243667715115,0.02032850282533958,1,1.0,-0.009325222217906038,10,2021-09
2021-09-14,1.7663606940793775,-0.018592743442050672,1,1.0,-0.02774458419571907,10,2021-09
2021-09-15,1.7840582825138487,0.01001923813963449,1,1.0,-0.018003325652226697,10,2021-09
2021-09-16,1.7718481011933798,-0.00684404844849792,1,1.0,-0.02472415846772677,10,2021-09
