date,nav,daily_ret,big_trend,short_trend,invest,exposure,dd,n_positions,month
2021-10-25,1.6321075268090037,0.05373310058068706,1,1,1,1.0,-0.017903283839674593,10,2021-10
2021-10-26,1.658974563544964,0.01646156046378209,1,1,1,1.0,-0.0017364393653195676,10,2021-10
2021-10-27,1.666311943297849,0.0044228404184849645,1,1,1,1.0,0.0,10,2021-10
2021-10-28,1.666444190277476,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-10
2021-10-29,1.6765975750779638,0.006092844188677582,1,1,1,1.0,0.0,10,2021-10
2021-11-01,1.699714811481315,0.013788184324599252,1,1,1,1.0,0.0,10,2021-11
2021-11-02,1.677701485894643,-0.012951187715712763,1,1,1,1.0,-0.012951187715712801,10,2021-11
2021-11-03,1.6741185426547045,-0.0021356261945656993,1,1,1,1.0,-0.015059155014542192,10,2021-11
2021-11-04,1.6913425755623726,0.010288418931406973,1,1,1,1.0,-0.004925670978677863,10,2021-11
2021-11-05,1.7266889683416526,0.020898423116633962,1,1,1,1.0,0.0,10,2021-11
2021-11-08,1.7582155766165322,0.018258417614817037,1,1,1,1.0,0.0,10,2021-11
2021-11-09,1.77053973245753,0.007009468011149156,1,1,1,1.0,0.0,10,2021-11
2021-11-10,1.8326157339782718,0.03506049617682383,1,1,1,1.0,0.0,10,2021-11
2021-11-11,1.9183345786884187,0.04677404167215512,1,1,1,1.0,0.0,10,2021-11
2021-11-12,1.923000692338466,0.0024323773870757463,1,1,1,1.0,0.0,10,2021-11
2021-11-15,1.9231533114410326,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-11
2021-11-16,1.9233059426562265,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-11
2021-11-17,1.9463215964984044,0.011966714879688721,1,1,1,1.0,0.0,10,2021-11
2021-11-18,1.9464760664663805,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-11
2021-11-19,1.9853413065954064,0.019966975602007497,1,1,1,1.0,0.0,10,2021-11
2021-11-22,2.0368911260356053,0.025965217803582574,1,1,1,1.0,0.0,10,2021-11
2021-11-23,2.0008393960732636,-0.017699389771759368,1,1,1,1.0,-0.017699389771759232,10,2021-11
2021-11-24,1.9862430075841646,-0.007295132491765711,1,1,1,1.0,-0.024865402870116557,10,2021-11
2021-11-25,1.9553650477906832,-0.015545912396206566,1,1,1,1.0,-0.04002475989160797,10,2021-11
2021-11-26,1.955520235492889,7.936507936507937e-05,1,0,0,0.0,-0.03994857138048822,0,2021-11
2021-11-29,1.9623176892388037,0.0034760334475401724,1,1,1,1.0,-0.03661140050324813,10,2021-11
2021-11-30,1.928392564854891,-0.017288293618283827,1,1,1,1.0,-0.053266745479855236,10,2021-11
2021-12-01,1.9285456118838478,7.936507936507937e-05,1,0,0,0.0,-0.053191607919972655,0,2021-12
2021-12-02,1.9286986710593943,7.936507936507937e-05,1,0,0,0.0,-0.05311646439679161,0,2021-12
2021-12-03,1.9288517423824942,7.936507936507937e-05,1,0,0,0.0,-0.053041314909838974,0,2021-12
2021-12-06,1.929004825854112,7.936507936507937e-05,1,0,0,0.0,-0.05296615945864133,0,2021-12
2021-12-07,1.9291579214752115,7.936507936507937e-05,1,0,0,0.0,-0.05289099804272534,0,2021-12
2021-12-08,1.9293110292467572,7.936507936507937e-05,1,0,0,0.0,-0.05281583066161757,0,2021-12
2021-12-09,1.9426101788458665,0.006893211824068247,1,1,1,1.0,-0.04628668954596385,10,2021-12
2021-12-10,1.9826694553092206,0.02062136649935294,1,1,1,1.0,-0.026619817835780057,10,2021-12
2021-12-13,2.1064712438067072,0.06244197093265787,1,1,1,1.0,0.0,10,2021-12
2021-12-14,2.1561626696708847,0.023589890443687145,1,1,1,1.0,0.0,10,2021-12
2021-12-15,2.156333793692287,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-12
2021-12-16,2.1645695322224627,0.003819324519360924,1,1,1,1.0,0.0,10,2021-12
2021-12-17,2.164741323455179,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-12
2021-12-20,2.16491312832212,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-12
2021-12-21,2.1650849468243676,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-12
2021-12-22,2.1652567789630046,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-12
2021-12-23,2.1573685818639294,-0.00364307696699744,1,1,1,1.0,-0.003643076966997435,10,2021-12
2021-12-24,2.157539801592649,7.936507936507937e-05,1,0,0,0.0,-0.0035640010207248704,0,2021-12
2021-12-27,2.157711034910236,7.936507936507937e-05,1,0,0,0.0,-0.003484918798583551,0,2021-12
2021-12-28,2.1578822818177685,7.936507936507937e-05,1,0,0,0.0,-0.0034058303000755,0,2021-12
2021-12-29,2.1580535423163254,7.936507936507937e-05,1,0,0,0.0,-0.003326735524702535,0,2021-12
2021-12-30,2.2664553854778786,0.05023130382817161,1,1,1,1.0,0.0,10,2021-12
2021-12-31,2.2956328717385617,0.012873620388751221,1,1,1,1.0,0.0,10,2021-12
2022-01-04,2.2958150648236204,7.936507936507937e-05,1,0,0,0.0,0.0,0,2022-01
2022-01-05,2.2959972723684476,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-06,2.2961794943741913,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-07,2.296361730841999,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-10,2.296543981773018,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-11,2.2967262471683974,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-12,2.296908527029284,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-01
2022-01-13,2.297090821356826,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-14,2.297273130152172,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-01
2022-01-17,2.2974554534164695,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-01
2022-01-18,2.297637791150868,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-01
2022-01-19,2.297820143356515,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-20,2.298002510034559,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-21,2.298184891186149,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-24,2.2983672868124336,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-25,2.2985496969145616,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-26,2.298732121493682,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-27,2.2989145605509433,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-01-28,2.299097014087495,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-01
2022-02-07,2.299279482104486,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-08,2.299461964603066,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-09,2.299644461584384,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-10,2.2998269730495893,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-11,2.3000094989998314,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-14,2.30019203943626,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-15,2.300374594360025,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-02-16,2.3005571637722757,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-02-17,2.3007397476741627,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-02-18,2.3009223460668355,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-02-21,2.301104958951444,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-22,2.301287586329139,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-23,2.3014702282010697,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-02-24,2.3016528845683872,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-02
2022-02-25,2.301835555432242,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-02-28,2.3020182407937844,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-02
2022-03-01,2.302200940654165,7.936507936507937e-05,0,1,0,0.0,0.0,0,2022-03
2022-03-02,2.3023836550145345,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-03
2022-03-03,2.3025663838760435,7.936507936507937e-05,0,0,0,0.0,0.0,0,2022-03
