date,nav,daily_ret,regime,exposure,dd,n_positions,stop_exit,month
2021-07-12,1.0728787918289067,7.936507936507937e-05,bull,0.0,-0.04952122773244849,0,True,2021-07
2021-07-13,1.0729639409393694,7.936507936507937e-05,bull,0.0,-0.04944579290925253,0,True,2021-07
2021-07-14,1.073049096807698,7.936507936507937e-05,bull,0.0,-0.04937035209916591,0,True,2021-07
2021-07-15,1.0731342594344289,7.936507936507937e-05,bull,0.0,-0.04929490530171338,0,True,2021-07
2021-07-16,1.0732194288200982,7.936507936507937e-05,bull,0.0,-0.04921945251641988,0,True,2021-07
2021-07-19,1.0733046049652428,7.936507936507937e-05,bull,0.0,-0.049143993742809956,0,True,2021-07
2021-07-20,1.0733897878703988,7.936507936507937e-05,bull,0.0,-0.049068528980408546,0,True,2021-07
2021-07-21,1.073474977536103,7.936507936507937e-05,bull,0.0,-0.0489930582287402,0,True,2021-07
2021-07-22,1.0839811067490046,0.009787027581225705,bull,1.0,-0.039685527059687656,10,False,2021-07
2021-07-23,1.0751905953081595,-0.008109469239006274,bull,1.0,-0.04747316773776969,10,False,2021-07
2021-07-26,1.0521426738810282,-0.02143612632746801,bull,1.0,-0.06789165324444585,10,False,2021-07
2021-07-27,1.0522261772678443,7.936507936507937e-05,bull,0.0,-0.06781767639152864,0,True,2021-07
2021-07-28,1.0523096872819133,7.936507936507937e-05,bull,0.0,-0.06774369366743259,0,True,2021-07
2021-07-29,1.0523932039237611,7.936507936507937e-05,bull,0.0,-0.06766970507169189,0,True,2021-07
2021-07-30,1.052476727193914,7.936507936507937e-05,bull,0.0,-0.0675957106038403,0,True,2021-07
2021-08-02,1.0525602570928976,7.936507936507937e-05,bull,0.0,-0.06752171026341204,0,True,2021-08
2021-08-03,1.0526437936212383,7.936507936507937e-05,bull,0.0,-0.0674477040499409,0,True,2021-08
2021-08-04,1.0527273367794623,7.936507936507937e-05,bull,0.0,-0.06737369196296064,0,True,2021-08
2021-08-05,1.0528108865680956,7.936507936507937e-05,bull,0.0,-0.06729967400200527,0,True,2021-08
2021-08-06,1.0528944429876645,7.936507936507937e-05,bull,0.0,-0.06722565016660859,0,True,2021-08
2021-08-09,1.0529780060386953,7.936507936507937e-05,bull,0.0,-0.06715162045630438,0,True,2021-08
2021-08-10,1.0530615757217143,7.936507936507937e-05,bull,0.0,-0.06707758487062622,0,True,2021-08
2021-08-11,1.053145152037248,7.936507936507937e-05,bull,0.0,-0.06700354340910793,0,True,2021-08
2021-08-12,1.0532287349858223,7.936507936507937e-05,bull,0.0,-0.06692949607128328,0,True,2021-08
2021-08-13,1.053312324567964,7.936507936507937e-05,bull,0.0,-0.06685544285668567,0,True,2021-08
2021-08-16,1.0533959207841996,7.936507936507937e-05,bull,0.0,-0.0667813837648489,0,True,2021-08
2021-08-17,1.0534795236350556,7.936507936507937e-05,bull,0.0,-0.06670731879530636,0,True,2021-08
2021-08-18,1.0535631331210584,7.936507936507937e-05,bull,0.0,-0.06663324794759166,0,True,2021-08
2021-08-19,1.0536467492427348,7.936507936507937e-05,bull,0.0,-0.0665591712212382,0,True,2021-08
2021-08-20,1.0461227552773913,-0.007140907491767134,bull,1.0,-0.07322478582858577,10,False,2021-08
2021-08-23,1.0462057808928895,7.936507936507937e-05,bull,0.0,-0.07315123224015946,0,True,2021-08
2021-08-24,1.0462888130977224,7.936507936507937e-05,bull,0.0,-0.07307767281414669,0,True,2021-08
2021-08-25,1.0463718518924128,7.936507936507937e-05,bull,0.0,-0.07300410755008423,0,True,2021-08
2021-08-26,1.0464548972774836,7.936507936507937e-05,bull,0.0,-0.0729305364475088,0,True,2021-08
2021-08-27,1.046537949253458,7.936507936507937e-05,bull,0.0,-0.07285695950595696,0,True,2021-08
2021-08-30,1.0466210078208593,7.936507936507937e-05,bull,0.0,-0.07278337672496525,0,True,2021-08
2021-08-31,1.0467040729802102,7.936507936507937e-05,bull,0.0,-0.0727097881040704,0,True,2021-08
2021-09-01,1.046787144732034,7.936507936507937e-05,bull,0.0,-0.07263619364280878,0,True,2021-09
2021-09-02,1.046870223076854,7.936507936507937e-05,bull,0.0,-0.07256259334071692,0,True,2021-09
2021-09-03,1.0469533080151936,7.936507936507937e-05,bull,0.0,-0.07248898719733118,0,True,2021-09
2021-09-06,1.0470363995475758,7.936507936507937e-05,bull,0.0,-0.0724153752121881,0,True,2021-09
2021-09-07,1.047119497674524,7.936507936507937e-05,bull,0.0,-0.07234175738482403,0,True,2021-09
2021-09-08,1.0472026023965617,7.936507936507937e-05,bull,0.0,-0.07226813371477511,0,True,2021-09
2021-09-09,1.0472857137142122,7.936507936507937e-05,bull,0.0,-0.0721945042015779,0,True,2021-09
2021-09-10,1.047368831627999,7.936507936507937e-05,bull,0.0,-0.07212086884476855,0,True,2021-09
2021-09-13,1.0474519561384457,7.936507936507937e-05,bull,0.0,-0.0720472276438832,0,True,2021-09
2021-09-14,1.0475350872460758,7.936507936507937e-05,bull,0.0,-0.07197358059845803,0,True,2021-09
2021-09-15,1.0476182249514128,7.936507936507937e-05,bull,0.0,-0.07189992770802936,0,True,2021-09
2021-09-16,1.0477013692549804,7.936507936507937e-05,bull,0.0,-0.07182626897213315,0,True,2021-09
2021-09-17,1.0477845201573022,7.936507936507937e-05,bull,0.0,-0.07175260439030555,0,True,2021-09
2021-09-22,1.0396399329776909,-0.007773150894029857,bull,1.0,-0.07896801146336987,10,False,2021-09
2021-09-23,1.0397224440834827,7.936507936507937e-05,bull,0.0,-0.07889491368650194,0,True,2021-09
2021-09-24,1.0398049617377751,7.936507936507937e-05,bull,0.0,-0.07882181010822298,0,True,2021-09
2021-09-27,1.0398874859410878,7.936507936507937e-05,bull,0.0,-0.0787487007280727,0,True,2021-09
