date,nav,daily_ret,invest,exposure,dd,n_positions,month
2021-10-20,1.125887199740394,0.0026448827500219598,1,1.0,-0.0672888011469866,10,2021-10
2021-10-21,1.1357797445280562,0.008786443961653581,1,1.0,-0.059093586465857814,10,2021-10
2021-10-22,1.1364895197376559,0.0006249232855395229,1,1.0,-0.058505592138526866,10,2021-10
2021-10-25,1.1345793370161068,7.936507936507937e-05,0,0.0,-0.06008803202829128,0,2021-10
2021-10-26,1.1114975504731646,-0.019107991907056143,1,1.0,-0.07920952199913477,10,2021-10
2021-10-27,1.132050398947588,0.018491132495680365,1,1.0,-0.062183063269659875,10,2021-10
2021-10-28,1.1301476773875234,7.936507936507937e-05,0,0.0,-0.06375932215934313,0,2021-10
2021-10-29,1.1302373716476335,7.936507936507937e-05,0,0.0,-0.06368501734364153,0,2021-10
2021-11-01,1.1303270730263357,7.936507936507937e-05,0,0.0,-0.06361070663073226,0,2021-11
2021-11-02,1.1450469834168906,0.014300718920574372,1,1.0,-0.05141638976617507,10,2021-11
2021-11-03,1.143122417527722,7.936507936507937e-05,0,0.0,-0.05301074500724365,0,2021-11
2021-11-04,1.1670496686974885,0.022219482802896498,1,1.0,-0.03318885243314206,10,2021-11
2021-11-05,1.144015365850882,-0.019737208676229235,1,1.0,-0.05227100580317374,10,2021-11
2021-11-08,1.1730123220294093,0.025346649218264683,1,1.0,-0.028249251433287794,10,2021-11
2021-11-09,1.1946191530793973,0.01841995232633736,1,1.0,-0.01034964897160636,10,2021-11
2021-11-10,1.1885659417255796,-0.0050670637066333344,1,1.0,-0.015364270347559255,10,2021-11
2021-11-11,1.1944018452294483,0.004910037633583674,1,1.0,-0.010529671859594462,10,2021-11
2021-11-12,1.2187163399513163,0.020357047185570208,1,1.0,0.0,10,2021-11
2021-11-15,1.2016882304408498,-0.013972168052778147,1,1.0,-0.013972168052778166,10,2021-11
2021-11-16,1.182193282195057,-0.016222966782857708,1,1.0,-0.029968464817431092,10,2021-11
2021-11-17,1.1802062817503,7.936507936507937e-05,0,0.0,-0.031598869186044244,0,2021-11
2021-11-18,1.1709439690107346,-0.006596357029330302,1,1.0,-0.03919892543862182,10,2021-11
2021-11-19,1.1689758761258808,7.936507936507937e-05,0,0.0,-0.04081381548344751,0,2021-11
2021-11-22,1.1917435214087984,0.020762735155226017,1,1.0,-0.02213215467644871,10,2021-11
2021-11-23,1.174968836578443,-0.014075750804607313,1,1.0,-0.035896378787061256,10,2021-11
2021-11-24,1.1751762417246607,0.00017651969972390857,1,1.0,-0.035726195505342034,10,2021-11
2021-11-25,1.1594817071937042,-0.013355047501575967,1,1.0,-0.04860411796889366,10,2021-11
2021-11-26,1.1575328797874076,7.936507936507937e-05,0,0.0,-0.0502032000049764,0,2021-11
2021-11-29,1.1576247474762797,7.936507936507937e-05,0,0.0,-0.05012781930656399,0,2021-11
2021-11-30,1.1339731395590666,-0.019195338768302584,1,1.0,-0.06953480282018283,10,2021-11
2021-12-01,1.1231921305344068,-0.009507287825928547,1,1.0,-0.07838100326178067,10,2021-12
2021-12-02,1.0950191064720245,-0.025082996307121432,1,1.0,-0.10149796915353834,10,2021-12
2021-12-03,1.0931786261678753,7.936507936507937e-05,0,0.0,-0.10300814854788592,0,2021-12
2021-12-06,1.0848826673797363,-0.006336825408753232,1,1.0,-0.10981527709468988,10,2021-12
2021-12-07,1.0830592241449801,7.936507936507937e-05,0,0.0,-0.11131147696908311,0,2021-12
2021-12-08,1.0831451812262616,7.936507936507937e-05,0,0.0,-0.11124094613392184,0,2021-12
2021-12-09,1.0745268265169756,-0.006705234868601029,1,1.0,-0.1183126119734315,10,2021-12
2021-12-10,1.1035291692604727,0.026990803791755308,1,1.0,-0.09451516067754122,10,2021-12
2021-12-13,1.1399928166978406,0.033042758137335,1,1.0,-0.0645954441347857,10,2021-12
2021-12-14,1.1896488921684112,0.043558235405734134,1,1.0,-0.023850872290812397,10,2021-12
2021-12-15,1.2125885600471629,0.019282721170730176,1,1.0,-0.005028060840144523,10,2021-12
2021-12-16,1.2105504719913358,7.936507936507937e-05,0,0.0,-0.006700384406355569,0,2021-12
2021-12-17,1.1841266271051571,-0.02059390634402595,1,1.0,-0.028382086718834784,10,2021-12
2021-12-20,1.182136377143376,7.936507936507937e-05,0,0.0,-0.030015157431467317,0,2021-12
2021-12-21,1.1822301974907683,7.936507936507937e-05,0,0.0,-0.02993817450745392,0,2021-12
2021-12-22,1.18232402528422,7.936507936507937e-05,0,0.0,-0.02986118547368464,0,2021-12
2021-12-23,1.1876019103592588,0.005731213400576017,1,1.0,-0.025530493497199262,10,2021-12
2021-12-24,1.1457580384749815,-0.03523392099598371,1,1.0,-0.05986487510231405,10,2021-12
2021-12-27,1.1438322774625298,7.936507936507937e-05,0,0.0,-0.06144503034379428,0,2021-12
2021-12-28,1.143923057802011,7.936507936507937e-05,0,0.0,-0.06137054185413901,0,2021-12
2021-12-29,1.1110347163378391,-0.027525165615665932,1,1.0,-0.08835659298518861,10,2021-12
2021-12-30,1.1091673174033732,7.936507936507937e-05,0,0.0,-0.0898888600708507,0,2021-12
2021-12-31,1.1226556918500816,0.013437742855672395,1,1.0,-0.07882117023644077,10,2021-12
2022-01-04,1.122450895224354,-0.00018242158055627004,1,1.0,-0.07898921313454113,10,2022-01
2022-01-05,1.0907563720235918,-0.028236890660973804,1,1.0,-0.10499569402083847,10,2022-01
2022-01-06,1.088923056415244,7.936507936507937e-05,0,0.0,-0.10649999452805996,0,2022-01
2022-01-07,1.0890094788800389,7.936507936507937e-05,0,0.0,-0.1064290818292129,0,2022-01
2022-01-10,1.0890959082037595,7.936507936507937e-05,0,0.0,-0.10635816350237397,0,2022-01
2022-01-11,1.0891823443869504,7.936507936507937e-05,0,0.0,-0.10628723954709626,0,2022-01
2022-01-12,1.0892687874301556,7.936507936507937e-05,0,0.0,-0.10621630996293337,0,2022-01
2022-01-13,1.082828138509606,-0.004658688707358385,1,1.0,-0.11150109093239753,10,2022-01
2022-01-14,1.0810081484747962,7.936507936507937e-05,0,0.0,-0.11299445733370664,0,2022-01
2022-01-17,1.0810939427722943,7.936507936507937e-05,0,0.0,-0.11292406006841557,0,2022-01
2022-01-18,1.0623010195637066,-0.01614358807931307,1,1.0,-0.12834432038045704,10,2022-01
2022-01-19,1.0466987268828594,-0.014687261325659973,1,1.0,-0.14114655513302504,10,2022-01
2022-01-20,1.0449394622455397,7.936507936507937e-05,0,0.0,-0.1425900941910063,0,2022-01
2022-01-21,1.0450223939488925,7.936507936507937e-05,0,0.0,-0.14252204578578337,0,2022-01
2022-01-24,1.0451053322341266,7.936507936507937e-05,0,0.0,-0.1424539919798933,0,2022-01
2022-01-25,1.0451882771017642,7.936507936507937e-05,0,0.0,-0.1423859327729076,0,2022-01
2022-01-26,1.0452712285523278,7.936507936507937e-05,0,0.0,-0.14231786816439757,0,2022-01
2022-01-27,1.0453541865863398,7.936507936507937e-05,0,0.0,-0.14224979815393446,0,2022-01
2022-01-28,1.045437151204323,7.936507936507937e-05,0,0.0,-0.14218172274108942,0,2022-01
2022-02-07,1.0455201224067996,7.936507936507937e-05,0,0.0,-0.1421136419254339,0,2022-02
2022-02-08,1.0456031001942923,7.936507936507937e-05,0,0.0,-0.14204555570653904,0,2022-02
2022-02-09,1.0456860845673237,7.936507936507937e-05,0,0.0,-0.14197746408397593,0,2022-02
2022-02-10,1.0457690755264164,7.936507936507937e-05,0,0.0,-0.1419093670573159,0,2022-02
2022-02-11,1.045852073072093,7.936507936507937e-05,0,0.0,-0.14184126462613003,0,2022-02
2022-02-14,1.0459350772048766,7.936507936507937e-05,0,0.0,-0.14177315678998922,0,2022-02
2022-02-15,1.0460180879252896,7.936507936507937e-05,0,0.0,-0.14170504354846467,0,2022-02
2022-02-16,1.0461011052338551,7.936507936507937e-05,0,0.0,-0.1416369249011272,0,2022-02
2022-02-17,1.046184129131096,7.936507936507937e-05,0,0.0,-0.14156880084754783,0,2022-02
2022-02-18,1.046267159617535,7.936507936507937e-05,0,0.0,-0.14150067138729763,0,2022-02
2022-02-21,1.0463501966936952,7.936507936507937e-05,0,0.0,-0.14143253651994736,0,2022-02
2022-02-22,1.0464332403600995,7.936507936507937e-05,0,0.0,-0.14136439624506794,0,2022-02
2022-02-23,1.0465162906172711,7.936507936507937e-05,0,0.0,-0.1412962505622301,0,2022-02
2022-02-24,1.046599347465733,7.936507936507937e-05,0,0.0,-0.14122809947100481,0,2022-02
2022-02-25,1.046682410906008,7.936507936507937e-05,0,0.0,-0.14115994297096282,0,2022-02
2022-02-28,1.0467654809386195,7.936507936507937e-05,0,0.0,-0.14109178106167483,0,2022-02
2022-03-01,1.046848557564091,7.936507936507937e-05,0,0.0,-0.14102361374271144,0,2022-03
2022-03-02,1.0469316407829452,7.936507936507937e-05,0,0.0,-0.14095544101364338,0,2022-03
2022-03-03,1.0470147305957058,7.936507936507937e-05,0,0.0,-0.14088726287404124,0,2022-03
2022-03-04,1.047097827002896,7.936507936507937e-05,0,0.0,-0.14081907932347557,0,2022-03
2022-03-07,1.0471809300050392,7.936507936507937e-05,0,0.0,-0.1407508903615171,0,2022-03
2022-03-08,1.0472640396026587,7.936507936507937e-05,0,0.0,-0.14068269598773625,0,2022-03
2022-03-09,1.047347155796278,7.936507936507937e-05,0,0.0,-0.14061449620170355,0,2022-03
2022-03-10,1.0474302785864205,7.936507936507937e-05,0,0.0,-0.1405462910029894,0,2022-03
2022-03-11,1.04751340797361,7.936507936507937e-05,0,0.0,-0.1404780803911642,0,2022-03
2022-03-14,1.0475965439583699,7.936507936507937e-05,0,0.0,-0.1404098643657983,0,2022-03
2022-03-15,1.0476796865412237,7.936507936507937e-05,0,0.0,-0.14034164292646228,0,2022-03
2022-03-16,1.0477628357226954,7.936507936507937e-05,0,0.0,-0.14027341607272617,0,2022-03
2022-03-17,1.0478459915033083,7.936507936507937e-05,0,0.0,-0.14020518380416053,0,2022-03
2022-03-18,1.0479291538835864,7.936507936507937e-05,0,0.0,-0.14013694612033534,0,2022-03
