date,nav,daily_ret,regime,exposure,dd,n_positions,month
2021-07-08,1.1402975371077666,0.020621532062540783,bull,1.0,0.0,10,2021-07
2021-07-09,1.1346579437234474,-0.004945720920018193,bull,1.0,-0.004945720920018265,10,2021-07
2021-07-12,1.1908431035991975,0.049517266579366795,bull,1.0,0.0,10,2021-07
2021-07-13,1.2139031465355745,0.019364467801577117,bull,1.0,0.0,10,2021-07
2021-07-14,1.1761385109590752,-0.03111008953579044,bull,1.0,-0.031110089535790336,10,2021-07
2021-07-15,1.1738933895155632,-0.0019088920417045683,bull,1.0,-0.032959595775163254,10,2021-07
2021-07-16,1.1785218329322973,0.003942814107373205,bull,1.0,-0.029146735226985715,10,2021-07
2021-07-19,1.1752547581487414,-0.0027721801092365547,bull,1.0,-0.031838115336576836,10,2021-07
2021-07-20,1.16674420952514,-0.007241450046972952,bull,1.0,-0.038849011261750256,10,2021-07
2021-07-21,1.1980818446760442,0.026859044934672137,bull,1.0,-0.01303341366622505,10,2021-07
2021-07-22,1.2369373909857155,0.03243146240996386,bull,1.0,0.0,10,2021-07
2021-07-23,1.240764266645627,0.0030938313351993488,bull,1.0,0.0,10,2021-07
2021-07-26,1.2243620844157928,-0.013219418604129451,bull,1.0,-0.013219418604129373,10,2021-07
2021-07-27,1.1698865333168729,-0.04449300725031263,bull,1.0,-0.05712425416664366,10,2021-07
2021-07-28,1.141062072684641,-0.02463868059965474,bull,1.0,-0.08035546851339305,10,2021-07
2021-07-29,1.2005145233265178,0.05210273136324628,bull,1.0,-0.03243947653966796,10,2021-07
2021-07-30,1.24532736908045,0.037328033008513804,bull,1.0,0.0,10,2021-07
2021-08-02,1.2820151695534447,0.02946036631322492,bull,1.0,0.0,10,2021-08
2021-08-03,1.257242317125456,-0.019323369189631047,bull,1.0,-0.019323369189631047,10,2021-08
2021-08-04,1.290324745390575,0.02631348612315105,bull,1.0,0.0,10,2021-08
2021-08-05,1.2793445996066428,-0.008509598706183563,bull,1.0,-0.008509598706183544,10,2021-08
2021-08-06,1.3195332523922925,0.03141346967658779,bull,1.0,0.0,10,2021-08
2021-08-09,1.3069548200846584,-0.009532486039915765,bull,1.0,-0.00953248603991572,10,2021-08
2021-08-10,1.322464603300158,0.011867115050308165,bull,1.0,0.0,10,2021-08
2021-08-11,1.359811581286765,0.028240436752264755,bull,1.0,0.0,10,2021-08
2021-08-12,1.3721024284306476,0.009038639847626553,bull,1.0,0.0,10,2021-08
2021-08-13,1.362483456274044,-0.00701038928092672,bull,1.0,-0.0070103892809265985,10,2021-08
2021-08-16,1.3370456647829791,-0.01867016540562563,bull,1.0,-0.025549669559119463,10,2021-08
2021-08-17,1.2926246647157216,-0.033223248268388614,bull,1.0,-0.057924074812570135,10,2021-08
2021-08-18,1.3268522537900656,0.026479139698197995,bull,1.0,-0.03297871478322303,10,2021-08
2021-08-19,1.3241936194261694,-0.002003715452343534,bull,1.0,-0.034916350275157076,10,2021-08
2021-08-20,1.3196556739379441,-0.0034269501239492343,bull,1.0,-0.038223643808203,10,2021-08
2021-08-23,1.35803155676788,0.029080224173491792,bull,1.0,-0.010254971765381402,10,2021-08
2021-08-24,1.3324194487202787,-0.018859729672672763,bull,1.0,-0.028921295442758257,10,2021-08
2021-08-25,1.331287018061742,-0.0008499055305927641,bull,1.0,-0.029746620604402328,10,2021-08
2021-08-26,1.3372921139162455,0.004510744695194601,bull,1.0,-0.02537005532029897,10,2021-08
2021-08-27,1.3276229325530553,-0.007230418292734998,bull,1.0,-0.032417037500958305,10,2021-08
2021-08-30,1.3000057278465273,-0.02080199432335765,bull,1.0,-0.052544692794240844,10,2021-08
2021-08-31,1.2999866913562697,-1.4643389525070567e-05,bull,1.0,-0.05255856675136186,10,2021-08
2021-09-01,1.2839996159581026,-0.012297876204784775,bull,1.0,-0.06421008420873738,10,2021-09
2021-09-02,1.3035778052739646,0.015247815554254019,bull,1.0,-0.049941332175221426,10,2021-09
2021-09-03,1.3134537948596126,0.007576064539985307,bull,1.0,-0.04274362639100845,10,2021-09
2021-09-06,1.324345744276415,0.008292601886286078,bull,1.0,-0.034805480381559104,10,2021-09
2021-09-07,1.3378136447872477,0.010169474677619972,bull,1.0,-0.024989959155321862,10,2021-09
2021-09-08,1.3516641236124065,0.010353070384000672,bull,1.0,-0.014895611577349595,10,2021-09
2021-09-09,1.3301649141478524,-0.015905733598296636,bull,1.0,-0.03056441954611324,10,2021-09
2021-09-10,1.334794062887849,0.0034801314414175995,bull,1.0,-0.02719065630214671,10,2021-09
2021-09-13,1.344568826144589,0.0073230496962146015,bull,1.0,-0.020066725133305374,10,2021-09
2021-09-14,1.3224305702472527,-0.016464948068754082,bull,1.0,-0.03620127561482955,10,2021-09
2021-09-15,1.3358787682042852,0.010169303598689618,bull,1.0,-0.02640011377852705,10,2021-09
2021-09-16,1.3057074309014967,-0.022585385755734034,bull,1.0,-0.04838924278057774,10,2021-09
2021-09-17,1.3034027413094345,-0.0017650888227472622,bull,1.0,-0.05006892029175175,10,2021-09
2021-09-22,1.3085074261812895,0.003916429442772618,bull,1.0,-0.046348582242577444,10,2021-09
2021-09-23,1.3213606575306438,0.009822818802690994,bull,1.0,-0.036981037165016925,10,2021-09
2021-09-24,1.3030770646992635,-0.013836943552980173,bull,1.0,-0.05030627619421408,10,2021-09
2021-09-27,1.2591189626745367,-0.0337340769901985,bull,1.0,-0.08234331739018677,10,2021-09
2021-09-28,1.2615240370530345,0.0019101248172684769,bull,1.0,-0.08059047858700163,10,2021-09
2021-09-29,1.2176431910373828,-0.03478399517313907,bull,1.0,-0.11257121494196948,10,2021-09
2021-09-30,1.2511817376283787,0.02754382140668177,bull,1.0,-0.08812803497518243,10,2021-09
2021-10-08,1.2841608632134984,0.02635838151508817,bull,1.0,-0.06409256582814517,10,2021-10
2021-10-11,1.2560490089453809,-0.021891224902906747,bull,1.0,-0.08458072595790365,10,2021-10
2021-10-12,1.2378479008899714,-0.01449076264204986,bull,1.0,-0.09784584937600523,10,2021-10
